Index,rank,name,year_published,min_players,max_players,playing_time,age,boardgamecategory,thumbnail
361,362,Awkward Guests,2016,1,8,75,12,,https://cf.geekdo-images.com/Awopfw5_5Qyh-7YcSbtudA__thumb/img/HHn3So0Mum6VZliDmEnB2LwfeQ0=/fit-in/200x150/filters:strip_icc()/pic4870482.jpg
362,363,01: Большой пожар,2011,2,6,45,10,,https://cf.geekdo-images.com/v6bTbxeprDFj1nN4AenvjA__thumb/img/7AyBFA8JfZHKxC5ntwOjJTbIgWE=/fit-in/200x150/filters:strip_icc()/pic1129370.jpg
363,364,Millennium Blades,2016,2,5,120,12,,https://cf.geekdo-images.com/fqNRfH1NRnnhiIJisZjEoQ__thumb/img/88CPRQuwAZN7TCr9UYNKkLT3SGQ=/fit-in/200x150/filters:strip_icc()/pic2468179.jpg
364,365,Ginkgopolis,2012,1,5,45,13,,https://cf.geekdo-images.com/2y2A4qcoGamLcYNLv8wb5A__thumb/img/U27Rs0NzKCs5s6V5CeA-fw5e4Lc=/fit-in/200x150/filters:strip_icc()/pic5975231.jpg
365,366,Thunderstone Quest,2018,2,4,90,14,,https://cf.geekdo-images.com/iNbiiQKqSfa4Eoq7U-O4Uw__thumb/img/vpvEr_gA1fMhIgZwafl2oJBR_j4=/fit-in/200x150/filters:strip_icc()/pic3941484.jpg
366,367,A Few Acres of Snow,2011,2,2,120,14,,https://cf.geekdo-images.com/JcrBT921aDP9XTdDyKM_8g__thumb/img/MGcWqny1dKmspUxjIi2bpkitx7w=/fit-in/200x150/filters:strip_icc()/pic905905.jpg
367,368,Tekhenu: Der Sonnenobelisk,2020,1,4,120,14,,https://cf.geekdo-images.com/CBLtzgG8zsqDkUZ_hN5-ew__thumb/img/QaUXxrgmXFrlNADgPeGhY5F538g=/fit-in/200x150/filters:strip_icc()/pic5313583.jpg
368,369,Dobbel zo Clever,2019,1,4,30,10,,https://cf.geekdo-images.com/d72oC7SUyku90uSjGUbI9Q__thumb/img/MljCrdZit4DG7OyQjZFzwAd5RDA=/fit-in/200x150/filters:strip_icc()/pic4519813.jpg
369,370,Lancaster,2011,2,5,60,10,,https://cf.geekdo-images.com/8e4XYBOnFKGMoiW591ih8g__thumb/img/dsG2vzx6pcFyxghLg_dww9NcHOQ=/fit-in/200x150/filters:strip_icc()/pic1280761.jpg
370,371,Dice Throne: Season Two – Battle Chest,2018,2,6,40,8,,https://cf.geekdo-images.com/lJkCMk1jwCl-KHSPZJCPZQ__thumb/img/93EGDw0NSm91SomXH38d4XvhlSk=/fit-in/200x150/filters:strip_icc()/pic4441140.jpg
371,372,Bolidy,2017,2,6,40,10,,https://cf.geekdo-images.com/c74C-NVJHuMVxt6A_j2TsA__thumb/img/OUdT3uFyqBBzN7q9ZDFN6WBiecU=/fit-in/200x150/filters:strip_icc()/pic3432548.png
372,373,Chinatown,1999,3,5,60,12,,https://cf.geekdo-images.com/QnIOe-1wb8_zuxglKjAwOQ__thumb/img/CyDOXyRu7MHfn2ZS9pb9XmOStv0=/fit-in/200x150/filters:strip_icc()/pic2037509.png
373,374,Glen More,2010,2,5,70,10,,https://cf.geekdo-images.com/ApDYRpgfdCMhEszegyHiEA__thumb/img/8E82w4RfXAuRIvmnPVGE0or3rQQ=/fit-in/200x150/filters:strip_icc()/pic1013640.jpg
374,375,Moje Miasto,2020,2,4,30,10,,https://cf.geekdo-images.com/vjLg-uWRx3SICFZQehHqkA__thumb/img/-0dgIVp3J1dIi1dD7WddEfEctzw=/fit-in/200x150/filters:strip_icc()/pic5428585.jpg
375,376,Quadropolis,2016,2,4,60,8,,https://cf.geekdo-images.com/y7kVtuCs6EfItCGUloqBAA__thumb/img/SGHJzA_0kYlRzeWTi5s_4JB_EPY=/fit-in/200x150/filters:strip_icc()/pic2840020.jpg
376,377,Spartacus: A Game of Blood and Treachery,2012,3,4,180,17,,https://cf.geekdo-images.com/_nPXf80oO-wC8eW2drZx1Q__thumb/img/jxw0q-ua1ix06a8HUM0X5FLpHJA=/fit-in/200x150/filters:strip_icc()/pic6166144.jpg
377,378,Kingsburg,2007,2,5,90,13,,https://cf.geekdo-images.com/pHFQxD8va6vOrrNfazVzsg__thumb/img/C5cCKKfjEpm87frQIFOOYfzmIyc=/fit-in/200x150/filters:strip_icc()/pic253057.jpg
378,379,Heroscape Master Set: Aufstieg der Walküren,2004,2,4,90,8,,https://cf.geekdo-images.com/NexswDpzGPW3YGguz9Uhcg__thumb/img/mUDJhf8jTcxmSF9bFJYQm30IGt0=/fit-in/200x150/filters:strip_icc()/pic244662.jpg
379,380,The Great Zimbabwe,2012,2,5,150,14,,https://cf.geekdo-images.com/KoL5aL8f_OpyzB9yYSI8VA__thumb/img/tGLIa6i13UQJv2-Xj47XEHZrDRg=/fit-in/200x150/filters:strip_icc()/pic1400856.jpg
380,381,Ensalada de puntos,2019,2,6,30,8,,https://cf.geekdo-images.com/Xy0W9NtEpX0EVjwgxO3IEA__thumb/img/1gKeE2_50dXcL03gH3cEU-Ixj6c=/fit-in/200x150/filters:strip_icc()/pic4621571.png
381,382,Risiko Evolution,2011,3,5,60,13,,https://cf.geekdo-images.com/LxKu8_oihOQftb2npGvWMw__thumb/img/-g2SLefjovkUxW7H6sFOmAMjfA4=/fit-in/200x150/filters:strip_icc()/pic1196938.jpg
382,383,Amerigo,2013,2,4,90,10,,https://cf.geekdo-images.com/CPTCRbcUGvW-gepKwTvjSg__thumb/img/zRh81ru4inGKVa5BA4_kIY5Xewg=/fit-in/200x150/filters:strip_icc()/pic1824151.jpg
383,384,BattleLore,2006,2,2,60,10,,https://cf.geekdo-images.com/cAH5iJ9gQ7aAj4iwUJyvUg__thumb/img/rTfeifO7GrjUv30f_dAs1wbcHLc=/fit-in/200x150/filters:strip_icc()/pic145116.jpg
384,385,Pandemic: La Cura,2014,2,5,30,8,,https://cf.geekdo-images.com/gCeKvj1ULixFOJ7uFawkcg__thumb/img/xD_r6E6ZwYKXH-rtVPhGZoVleC4=/fit-in/200x150/filters:strip_icc()/pic2225998.jpg
385,386,Biblios,2007,2,4,30,10,,https://cf.geekdo-images.com/w9pHmbMbHEFYtuOUcWcruA__thumb/img/BYid-ptJy9xNI_kK3IDWOGLWJVM=/fit-in/200x150/filters:strip_icc()/pic759154.jpg
386,387,Der Herr der Ringe: Die Entscheidung,2005,2,2,30,14,,https://cf.geekdo-images.com/uL9pJAwO9gyJZZjmuWYdyQ__thumb/img/ciJpp3YZwYqeMS_Age-TbIct0bI=/fit-in/200x150/filters:strip_icc()/pic1680704.jpg
387,388,Pandemic: Czas Cthulhu,2016,2,4,40,14,,https://cf.geekdo-images.com/rwNaEQfzABp7dkpnwn1Ksw__thumb/img/A77zWf8GZ3rPK5FPTitlJuTAoNM=/fit-in/200x150/filters:strip_icc()/pic2866737.png
388,389,Aeon's End: The New Age,2019,1,4,60,14,,https://cf.geekdo-images.com/ZoIYlIzfph5yGuwQGKYneA__thumb/img/PNAUCRrB8mVltrG77bNlzSyDoGA=/fit-in/200x150/filters:strip_icc()/pic4628176.jpg
389,390,Gringo,2011,3,6,45,10,,https://cf.geekdo-images.com/4E9rSeKJDXiBbKmyMNtM7Q__thumb/img/zLo-17a1UkBwLj3bgr-cTy34Mlk=/fit-in/200x150/filters:strip_icc()/pic1779342.jpg
390,391,Amon Ra,2003,3,5,90,12,,https://cf.geekdo-images.com/wFD0mXh1AZshtsYlrBXyzA__thumb/img/nLzU6sEdEIrWcjgBVOlj-Jfsl6s=/fit-in/200x150/filters:strip_icc()/pic2748305.jpg
391,392,Commands & Colors: Napoleonics,2010,2,2,90,14,,https://cf.geekdo-images.com/eVEF5fs8D22b0Bwj17mNgQ__thumb/img/qzxYJuD92hSlqarpDSdC5j_qo5I=/fit-in/200x150/filters:strip_icc()/pic837162.jpg
392,393,Nottingham bírája,2014,3,5,60,14,,https://cf.geekdo-images.com/BBgLFKUzr6tcKtlIM2JSFw__thumb/img/JD5L_XrtkaKINUj8ILZqFMGcTsE=/fit-in/200x150/filters:strip_icc()/pic2075830.jpg
393,394,1775: Der amerikanische Unabhängigkeitskrieg,2013,2,4,120,10,,https://cf.geekdo-images.com/rTKzRG0b8CtQWYqmCC353w__thumb/img/fivxQMJoJqReqc7c2yghuAFP9Uk=/fit-in/200x150/filters:strip_icc()/pic1386705.jpg
394,395,Colonos del imperio: imperios del norte,2019,1,4,90,10,,https://cf.geekdo-images.com/w6HMeWkxsTJM6zC8oxwUfQ__thumb/img/g1qP3Gm2krXidqUYAJCS-xZVz0I=/fit-in/200x150/filters:strip_icc()/pic4543694.jpg
395,396,Blood Bowl (Third Edition),1994,2,2,180,12,,https://cf.geekdo-images.com/NfmeYHtstjGoXtfIy3Cf-g__thumb/img/TB-1_nLqgwlqsqVp7Kpd_B7aRdg=/fit-in/200x150/filters:strip_icc()/pic831373.jpg
396,397,Descent: Die Reise ins Dunkel,2005,2,5,240,13,,https://cf.geekdo-images.com/915Abv-1k4_f_-__SkXybg__thumb/img/gn1-n9C_vhQufKI9aosUfP6_WwA=/fit-in/200x150/filters:strip_icc()/pic249300.jpg
397,398,Le Case della Follia,2011,2,5,180,13,,https://cf.geekdo-images.com/JtjGOgkaIxnLUeoV56cWFQ__thumb/img/eaj13E1FPWuVbXyBNBpewxXlVD0=/fit-in/200x150/filters:strip_icc()/pic814011.jpg
398,399,Shadows of Brimstone: City of the Ancients,2014,1,4,120,12,,https://cf.geekdo-images.com/ZnkF6PeVDEOJvc2EHT7ZHw__thumb/img/O6DtRhRClEvh2JMyHUa401D4Rdg=/fit-in/200x150/filters:strip_icc()/pic2037825.jpg
399,400,Le Désert Interdit,2013,2,5,45,10,,https://cf.geekdo-images.com/OU26qQZoHJodxSFKiR5IzA__thumb/img/eDUA8LpBqRjlzJWJYIsIenpF_rA=/fit-in/200x150/filters:strip_icc()/pic1528722.jpg
400,401,BattleCON: Devastation of Indines,2013,1,5,45,10,,https://cf.geekdo-images.com/fHaLlnlbJPo52qAOYaY4Yw__thumb/img/CK7EehPmHRP9brSWaj6plslTeRs=/fit-in/200x150/filters:strip_icc()/pic2407334.jpg
401,402,Avus,1995,2,8,30,6,,https://cf.geekdo-images.com/lvC1qJo4-RQ_zqudi_oRmA__thumb/img/7IuVc3d0QWtb0eCd6PaYHg8Qg2U=/fit-in/200x150/filters:strip_icc()/pic215555.jpg
402,403,Raptor,2015,2,2,30,9,,https://cf.geekdo-images.com/HjZ_VCPeI3vJQcEDsWLvRA__thumb/img/nB38D-IdQk1krkZZbt6pkV8NljU=/fit-in/200x150/filters:strip_icc()/pic2520016.jpg
403,404,Schotten Totten,1999,2,2,20,8,,https://cf.geekdo-images.com/69mwXe7c6HNYmT6S35Y4zg__thumb/img/97DW-2XWDrSSkgy3XnUJ7f7tLiQ=/fit-in/200x150/filters:strip_icc()/pic2932872.jpg
404,405,Mystic Vale,2016,2,4,45,14,,https://cf.geekdo-images.com/2cf8lebaIrJ8Z62HGEs2wQ__thumb/img/_iH-e13A0Suy5CBOZIwdCeKlEXc=/fit-in/200x150/filters:strip_icc()/pic3287905.png
405,406,Labirynt: Wojna z terroryzmem 2001 – ?,2010,1,2,180,12,,https://cf.geekdo-images.com/Acd8VhTI7yrwGAYNLReurA__thumb/img/xhSrUlTrFh9mJVlezWTow3UPUOg=/fit-in/200x150/filters:strip_icc()/pic859584.jpg
406,407,Madeira,2013,2,4,150,12,,https://cf.geekdo-images.com/wY6k5MmdPH3NVXsJ-SgtMw__thumb/img/Su3JBW4OIe8Qt6nXEyUcMOJtqsM=/fit-in/200x150/filters:strip_icc()/pic1762708.jpg
407,408,Deus,2014,2,4,90,14,,https://cf.geekdo-images.com/NOz3xJ-N5ptlq3rP9m5Wug__thumb/img/nQQSc-beglCc9XQwvptEwgm07wU=/fit-in/200x150/filters:strip_icc()/pic2219643.png
408,409,Colt Express,2014,2,6,40,10,,https://cf.geekdo-images.com/2HKX0QANk_DY7CIVK5O5fQ__thumb/img/zcjkqn_HYDIIyVAZaAxJIkurQRg=/fit-in/200x150/filters:strip_icc()/pic2869710.jpg
409,410,Hanabi,2010,2,5,25,8,,https://cf.geekdo-images.com/JDVksMwfcqoem1k_xtZrOA__thumb/img/amCeCcEKhYGbVtDvpvIMnu3qTg0=/fit-in/200x150/filters:strip_icc()/pic2007286.jpg
410,411,Catan,1995,3,4,120,10,,https://cf.geekdo-images.com/W3Bsga_uLP9kO91gZ7H8yw__thumb/img/8a9HeqFydO7Uun_le9bXWPnidcA=/fit-in/200x150/filters:strip_icc()/pic2419375.jpg
411,412,London,2010,2,4,90,13,,https://cf.geekdo-images.com/Wb9zwcnPNX-wSNvVcWYNjQ__thumb/img/XOY71ukn7QV-nwLSV3EmhuO46bM=/fit-in/200x150/filters:strip_icc()/pic770317.jpg
412,413,Expansiópolis,2018,1,4,20,8,,https://cf.geekdo-images.com/aZ3I9B_aEywK4O_qP_Hz9w__thumb/img/8IMkDRysr2XJafkJGGWoWRcj3e0=/fit-in/200x150/filters:strip_icc()/pic4654146.png
413,414,Archipelago,2012,2,5,240,14,,https://cf.geekdo-images.com/6kwNH1BGcKpwO6CpV3qRTQ__thumb/img/iJRQEfXxLAa0ekEd2Lw3DedQolI=/fit-in/200x150/filters:strip_icc()/pic1640388.jpg
414,415,Fábulas de Peluche,2018,2,4,90,7,,https://cf.geekdo-images.com/CS83e1WOA5WMc4izRw6zwg__thumb/img/S8F7Wyt0tUKzok9xKx4-f4IegRE=/fit-in/200x150/filters:strip_icc()/pic3708878.jpg
415,416,Andor,2012,2,4,90,10,,https://cf.geekdo-images.com/IO8_BYKeofnWy8DIjo2RRg__thumb/img/pMbV-KGyO3D9U6hnBzNRfylZvto=/fit-in/200x150/filters:strip_icc()/pic2606106.jpg
416,417,Conductor,2012,1,4,120,13,,https://cf.geekdo-images.com/eEUq1DqkPjVdSTJT4wp1zg__thumb/img/GnUZDpuILEw0EMvhmskCfve3l4w=/fit-in/200x150/filters:strip_icc()/pic1478723.jpg
417,418,Citadelă,2000,2,8,60,10,,https://cf.geekdo-images.com/42iW4E-vOumFXRQAiSf-GA__thumb/img/lxwVwqIO1RkDyyykSDFnpmwbgyI=/fit-in/200x150/filters:strip_icc()/pic3239104.jpg
418,419,Les Chevaliers de la Table Ronde,2005,3,7,80,10,,https://cf.geekdo-images.com/JYqwG_v1B3RhpB7NcmeDOA__thumb/img/QOG1zO0uvqxGTDF9V_OewVPMvNE=/fit-in/200x150/filters:strip_icc()/pic70547.jpg
419,420,Pipeline,2019,2,4,120,12,,https://cf.geekdo-images.com/x39hXnP-GkLN1CDEq932oA__thumb/img/xxiGCk0hEUpP3hOtItpKI3sKZfo=/fit-in/200x150/filters:strip_icc()/pic4227162.jpg
420,421,First Class: All Aboard the Orient Express!,2016,2,4,80,10,,https://cf.geekdo-images.com/HGMxWGtUHpCwHD08QhNQ-g__thumb/img/tfMvsSBt4_AOrb1aQx6Mj6ovskc=/fit-in/200x150/filters:strip_icc()/pic3539689.jpg
421,422,Small World Underground,2011,2,5,90,8,,https://cf.geekdo-images.com/qFmyurPNiCM8UPtP38mQpg__thumb/img/wLG6hiX2QNkrZCG5bnZqLJB6Pio=/fit-in/200x150/filters:strip_icc()/pic979889.jpg
422,423,Lord$ of Vega$,2010,2,4,90,12,,https://cf.geekdo-images.com/-uYn413Wy8Vzm9wkuOajWg__thumb/img/eUZWvR_NxKQVgda6KwTHH_-Dd2Q=/fit-in/200x150/filters:strip_icc()/pic774410.jpg
423,424,Fire in the Lake,2014,1,4,180,0,,https://cf.geekdo-images.com/08V8nzzLAr190Miv9GeitA__thumb/img/zzK0H6A2ruAM5aByuULQe9pvu-w=/fit-in/200x150/filters:strip_icc()/pic2083738.png
424,425,Freitag,2011,1,1,25,13,,https://cf.geekdo-images.com/7bBUuYUIyKIBDh_UnNa_Fw__thumb/img/Bjg_3ovfjRqjGtYEaEj6107UGWY=/fit-in/200x150/filters:strip_icc()/pic1513328.jpg
425,426,Euphoria: Build a Better Dystopia,2013,2,6,60,13,,https://cf.geekdo-images.com/aaEdtCTpdlDLTn_tuDuC0g__thumb/img/9BsIaNTaCuhQtx806N8Clm1fGO0=/fit-in/200x150/filters:strip_icc()/pic1615561.jpg
426,427,The Grizzled,2015,2,5,30,14,,https://cf.geekdo-images.com/5JuQCtSAeSZpAL3WgWdwow__thumb/img/XcI-3g0sVumt8DsaMaBGrwftIRw=/fit-in/200x150/filters:strip_icc()/pic3719610.png
427,428,Der Fuchs im Wald,2017,2,2,30,10,,https://cf.geekdo-images.com/spcy6nvsfq-hxYgwEpmidQ__thumb/img/nR2TKxtWOVJR1OHD6hAF05IHuOI=/fit-in/200x150/filters:strip_icc()/pic3496085.jpg
428,429,Imhotep,2016,2,4,40,10,,https://cf.geekdo-images.com/HkAt5n4R8XM0vNozl7fftA__thumb/img/1JpxGZSWJf3mxnZZGaGOTqExoH4=/fit-in/200x150/filters:strip_icc()/pic3029488.jpg
429,430,Sentinelas do Multiverso,2011,2,5,60,8,,https://cf.geekdo-images.com/KQJVwFggx85c6tkq99MW9Q__thumb/img/rts0fENMEytS8E6wJjiZ1bpoThk=/fit-in/200x150/filters:strip_icc()/pic1296144.jpg
430,431,Roads & Boats,1999,1,4,240,14,,https://cf.geekdo-images.com/V-uqqRB-Ybm6oD5jWv9cSw__thumb/img/mJ6WPCY8ub5LWFnpCnusv42WNhI=/fit-in/200x150/filters:strip_icc()/pic713985.jpg
431,432,Junk Art,2016,2,6,30,8,,https://cf.geekdo-images.com/5VDnpX_3ykgCjTJSmHdfCA__thumb/img/LLHF9t1MxB0m-NBe_C9cxAyIslA=/fit-in/200x150/filters:strip_icc()/pic2884509.jpg
432,433,Hallertau,2020,1,4,140,12,,https://cf.geekdo-images.com/AdJBpY_o7PQEcoJPU1QdTg__thumb/img/4E7KeT1tnpwc5e4DJujgh8R8eCk=/fit-in/200x150/filters:strip_icc()/pic5869977.jpg
433,434,Betrayal Legacy,2018,3,5,90,12,,https://cf.geekdo-images.com/F4-UGFUM3FfVLWsgBgpFLQ__thumb/img/qaqVSOIHvE3mPWEgX_lP7e-6yM0=/fit-in/200x150/filters:strip_icc()/pic4314964.jpg
434,435,Hullámhossz,2019,2,12,45,14,,https://cf.geekdo-images.com/z4fbPdmJg_5yphJEvql4ZA__thumb/img/bxLuHVLF-Y06jWRSKA-tuQ3YYcE=/fit-in/200x150/filters:strip_icc()/pic4552862.png
435,436,1 Nacht Weerwolven & Waaghalzen,2014,3,10,10,8,,https://cf.geekdo-images.com/KLDb0vR3w8mfaHgIGF0gHw__thumb/img/ZgQsHsvdxXZr4DbMGUBSTArBp3o=/fit-in/200x150/filters:strip_icc()/pic1809823.jpg
436,437,Dolina Królów,2009,2,4,90,12,,https://cf.geekdo-images.com/lt07T2HIr_r7JerYdW0iyA__thumb/img/sfnHUziRZl-kItnnr-QFfocySck=/fit-in/200x150/filters:strip_icc()/pic1651950.jpg
437,438,Bonfire,2020,1,4,100,12,,https://cf.geekdo-images.com/q9sYvC0Tt-1mEiuKnVTS4w__thumb/img/Vi9tZ60juVkTpNoUIdLFzW8N9Aw=/fit-in/200x150/filters:strip_icc()/pic5301335.jpg
438,439,Ajax Chessmen,1475,2,2,60,6,,https://cf.geekdo-images.com/0-DjGBOko6RV8zg5ejhYIg__thumb/img/kjtoinSrkYV0HZleXMxkJzZwS8k=/fit-in/200x150/filters:strip_icc()/pic260745.jpg
439,440,Time's Up! Title Recall!,2008,4,18,60,12,,https://cf.geekdo-images.com/XVqx-bp37COAHcyYUB7KNQ__thumb/img/8i8qQZPAwkAm7yyaLbdn8I6mjmM=/fit-in/200x150/filters:strip_icc()/pic3690447.jpg
440,441,EXIT 脱出：ザ・ゲーム オリエント急行の死者,2017,1,4,120,12,,https://cf.geekdo-images.com/atCG4ujYJ-L5LKID3ouz8g__thumb/img/m1IWCmDXxZ-jXpvPGvM6mU_HySQ=/fit-in/200x150/filters:strip_icc()/pic5320930.jpg
441,442,Libertalia,2012,2,6,60,14,,https://cf.geekdo-images.com/LeUx57CGYdnIEsnGebOB0A__thumb/img/BRF-D_TW7oHr7t6Yh0F9wx_zFI4=/fit-in/200x150/filters:strip_icc()/pic1326136.jpg
442,443,Cesarski Kurier,2006,2,4,60,10,,https://cf.geekdo-images.com/OlwMFxx9t6HGndTSKaWxhg__thumb/img/Fz4ZowJ6MyHSUTZv6XVPs5w4NM0=/fit-in/200x150/filters:strip_icc()/pic115300.jpg
443,444,Airlines Europe,2011,2,5,75,10,,https://cf.geekdo-images.com/MWSJ6c001o3HAk00qek9Rw__thumb/img/ZgcRUnCdSNZZyCnpBBs1ST5ESwE=/fit-in/200x150/filters:strip_icc()/pic975416.jpg
444,445,Escape Plan,2019,1,5,120,12,,https://cf.geekdo-images.com/J-sgq_IT2g6WfnuMY7Y8PA__thumb/img/fSUSmbc2mpUwV2ErYG7X1Y-xuVM=/fit-in/200x150/filters:strip_icc()/pic4178038.jpg
445,446,Citadela DeLuxe,2016,2,8,60,10,,https://cf.geekdo-images.com/sHd0jkZZLDgixHjAXtn7kA__thumb/img/HB0Z5D7uwBjf1lCCPjMck-5VP9A=/fit-in/200x150/filters:strip_icc()/pic3119514.jpg
446,447,Einfach Genial,2004,1,4,45,10,,https://cf.geekdo-images.com/k_dMkjiVuLX8syS0Gt-OGw__thumb/img/telyWJXo1FrPl0aPQ184Yn4L8zw=/fit-in/200x150/filters:strip_icc()/pic3958804.jpg
447,448,Argent: The Consortium,2015,2,5,150,10,,https://cf.geekdo-images.com/g8Ixp3odG02BcW2z2iOVLw__thumb/img/7QX2gjv4nLUgk7_nyLtKszO-mII=/fit-in/200x150/filters:strip_icc()/pic2336020.jpg
448,449,Queendomino,2017,2,4,25,8,,https://cf.geekdo-images.com/_6VtTmeI4e7cORxFWRC7Og__thumb/img/uzS2wD_CvrjO8KQsNZDoT0RBvmY=/fit-in/200x150/filters:strip_icc()/pic3672901.png
449,450,TZAAR,2007,2,2,60,13,,https://cf.geekdo-images.com/83RmBw8qTkDJo7qC-YY8og__thumb/img/E1zUB2Jka041LV1zypcMCZAh6eU=/fit-in/200x150/filters:strip_icc()/pic3607816.jpg
450,451,Elizjum,2015,2,4,60,14,,https://cf.geekdo-images.com/hNyO7u1pR3oSxKTELS7n2w__thumb/img/HWVlTW4WTam1F8UeT6RJeS4olIs=/fit-in/200x150/filters:strip_icc()/pic2837103.png
451,452,Potion Explosion,2015,2,4,45,8,,https://cf.geekdo-images.com/iAycB5JlPVO1Yf5zRMQitg__thumb/img/SMg-UJUOQB3TiLaK9Q6n3gb3vUg=/fit-in/200x150/filters:strip_icc()/pic2630294.png
452,453,I Coloni,2016,1,4,360,12,,https://cf.geekdo-images.com/Ca6hNgx3vX8dri1yj-3CWg__thumb/img/NU1qPi1sLNOfIYLmc4lRyQXgHVo=/fit-in/200x150/filters:strip_icc()/pic3195482.jpg
453,454,Black Orchestra,2016,1,5,90,14,,https://cf.geekdo-images.com/Qsli72TNrLYOUJO8di2pYQ__thumb/img/d2ZZSGrtwz1hrkzfChFpiWGMjcc=/fit-in/200x150/filters:strip_icc()/pic3010368.jpg
454,455,Vinhos,2010,2,4,135,12,,https://cf.geekdo-images.com/VwuH7Q3HgmTuL8YvUTqoMA__thumb/img/EXQm7HaXKe7-VckI6Zhcpt7KO0U=/fit-in/200x150/filters:strip_icc()/pic815592.jpg
455,456,Vikingové,2007,2,4,60,10,,https://cf.geekdo-images.com/nQPsaIgIvHiVewkPlSeFLA__thumb/img/r-994ljtk8eekrwvCCRWsbnx3PQ=/fit-in/200x150/filters:strip_icc()/pic1904581.jpg
456,457,Las Mil y una Noches,2009,1,6,120,12,,https://cf.geekdo-images.com/ibYzk1WgVEEnC0hnXdpqpg__thumb/img/IOnGg9i6oaoF2Ua8RtEyb5H593A=/fit-in/200x150/filters:strip_icc()/pic486114.jpg
457,458,Robo Rally,1994,2,8,120,12,,https://cf.geekdo-images.com/eJx8hRJ6-86C2VrhECwEPA__thumb/img/J1PlqFqtN-hxuXM4eEi-ekANPP4=/fit-in/200x150/filters:strip_icc()/pic1000553.jpg
458,459,Fotossíntese,2017,2,4,60,10,,https://cf.geekdo-images.com/HhkYuVxMy-XrRCBWmZ78Eg__thumb/img/eVdvmMALg8vjPr6eDoj-mqvDbUc=/fit-in/200x150/filters:strip_icc()/pic3364832.jpg
459,460,À la Recherche de la Planète X,2020,1,4,60,13,,https://cf.geekdo-images.com/NItjtztEUAKOpaTWZddu9A__thumb/img/x8YD4cAVOAbSDsZbmKgU0-WQ9wI=/fit-in/200x150/filters:strip_icc()/pic5744928.jpg
460,461,Sushi Go!,2013,2,5,15,8,,https://cf.geekdo-images.com/EPdI2KbLVtpGWLgL_eJLFg__thumb/img/6fDvIObIG-oxTDWNaf8l9mchWMk=/fit-in/200x150/filters:strip_icc()/pic5885690.jpg
461,462,Babszüret,1997,2,7,45,13,,https://cf.geekdo-images.com/hTK_hi_S0RvDRuZKyNEgvQ__thumb/img/laOeOkZJnxHAmCPp7OCg66Xd-zY=/fit-in/200x150/filters:strip_icc()/pic69366.jpg
462,463,Pathfinder Abenteuerkartenspiel: Das Erwachen der Runenherrscher – Grundbox,2013,1,4,90,13,,https://cf.geekdo-images.com/oilW_2LuTedEdM0R2y3_MA__thumb/img/jmxTLSPA-ZE_cNJja4xmQNpT2kA=/fit-in/200x150/filters:strip_icc()/pic1775517.jpg
463,464,"Ei, aitäh",2004,3,7,20,8,,https://cf.geekdo-images.com/2DyxMVASynw87LRULZuyqA__thumb/img/yIUSMoN8O5FeDZjXa4vreKj5Ogw=/fit-in/200x150/filters:strip_icc()/pic4657706.jpg
464,465,Port Rojal,2014,2,5,50,8,,https://cf.geekdo-images.com/9lQIIxg_l6G-ZWmTqEHlOA__thumb/img/uiCYTRqVF3TMqfpFGM-O0az_Q4A=/fit-in/200x150/filters:strip_icc()/pic1949286.jpg
465,466,Dědictví,2011,2,5,75,14,,https://cf.geekdo-images.com/lJ-yg0oUpHLWI6If6Q-JbA__thumb/img/mq1zlPHslpjaHqfXlJY_H-ZNF7Q=/fit-in/200x150/filters:strip_icc()/pic2442432.jpg
466,467,Kolejowy szlak: Głęboki błękit,2018,1,6,30,8,,https://cf.geekdo-images.com/x3hjEgkxZE9M96o6wgj6Tw__thumb/img/idn6fyLMcqvmxqKXU57rAuLgMvg=/fit-in/200x150/filters:strip_icc()/pic4097632.png
467,468,Tadsch Mahal,2000,2,5,90,12,,https://cf.geekdo-images.com/1AbjSJSVWFJ5GEXriWLd0w__thumb/img/Hl5F3BOBmcd-NmdNfkbDHbqheNo=/fit-in/200x150/filters:strip_icc()/pic4092498.jpg
468,469,Runebound (Third Edition),2015,2,4,180,14,,https://cf.geekdo-images.com/Zo4slt6oCCOFamxoR1ExcQ__thumb/img/AeUtimYbNYtH6AGZlYySU8igXGA=/fit-in/200x150/filters:strip_icc()/pic2625790.jpg
469,470,1846: The Race for the Midwest,2005,3,5,240,14,,https://cf.geekdo-images.com/zRZkmUtRhHosQNrcsYquOg__thumb/img/1l7TYgRKw5INM3_PNSsjAqBloAs=/fit-in/200x150/filters:strip_icc()/pic4001497.jpg
470,471,Star Wars X-Wing: El juego de miniaturas – Caja Básica El Despertar de la Fuerza,2015,2,2,45,14,,https://cf.geekdo-images.com/XbHyT8MyD-FLorGeWAHjzg__thumb/img/1ybrgm3Vs-GyS34ruL0c70Cfx7I=/fit-in/200x150/filters:strip_icc()/pic2654558.png
471,472,Starcraft: Das Brettspiel,2007,2,6,240,12,,https://cf.geekdo-images.com/tXwlK5uyyxaMzXG65NZ3Xg__thumb/img/-93qv9jIN6Lx9DZUCg9W8i-t6P8=/fit-in/200x150/filters:strip_icc()/pic265704.jpg
